move_num,eval_before,eval_diff,board_piece_count,classification,player_elo
36,-84,95,30,Mistake,1200
38,-186,77,30,Mistake,1200
41,249,89,28,Mistake,1200
42,-144,388,28,Blunder,1200
44,-523,65,27,Mistake,1200
49,658,121,25,Mistake,1200
60,-772,124,22,Mistake,1200
62,-993,8991,22,Blunder,1200
69,9990,9381,19,Blunder,1200
3,35,96,32,Mistake,1200
11,-55,63,31,Mistake,1200
13,-71,145,31,Mistake,1200
14,208,65,31,Mistake,1200
15,-154,166,31,Blunder,1200
16,290,95,31,Mistake,1200
19,-189,111,29,Mistake,1200
20,299,112,29,Mistake,1200
21,-198,9797,29,Blunder,1200
6,17,93,32,Mistake,1200
10,-89,63,31,Mistake,1200
16,-178,109,30,Mistake,1200
18,-264,245,29,Blunder,1200
23,535,97,28,Mistake,1200
34,-452,155,23,Blunder,1200
38,-697,76,22,Mistake,1200
42,-854,115,20,Mistake,1200
9,68,88,31,Mistake,1200
16,26,50,28,Mistake,1200
17,29,60,28,Mistake,1200
51,35,69,26,Mistake,1200
55,-21,134,26,Mistake,1200
56,143,130,26,Mistake,1200
57,-19,87,26,Mistake,1200
58,120,56,26,Mistake,1200
73,-24,106,20,Mistake,1200
78,163,155,17,Blunder,1200
79,-1,140,17,Mistake,1200
82,141,78,17,Mistake,1200
83,-40,133,17,Mistake,1200
84,183,80,17,Mistake,1200
85,-92,254,17,Blunder,1200
89,-352,58,17,Mistake,1200
90,380,74,17,Mistake,1200
91,-311,109,17,Mistake,1200
94,520,206,17,Blunder,1200
96,349,58,17,Mistake,1200
98,332,238,17,Blunder,1200
102,78,50,17,Mistake,1200
135,-14,79,15,Mistake,1200
19,-81,73,32,Mistake,1200
22,179,87,32,Mistake,1200
23,-103,50,32,Mistake,1200
35,-163,87,30,Mistake,1200
47,-291,99,25,Mistake,1200
51,-309,89,24,Mistake,1200
52,386,58,24,Mistake,1200
60,374,138,24,Mistake,1200
61,-229,138,24,Mistake,1200
62,372,241,24,Blunder,1200
63,-95,383,24,Blunder,1200
65,-513,89,22,Mistake,1200
68,692,172,20,Blunder,1200
86,907,269,17,Blunder,1200
87,-632,86,17,Mistake,1200
15,29,50,32,Mistake,1200
16,19,73,32,Mistake,1200
18,-42,74,32,Mistake,1200
25,126,62,32,Mistake,1200
29,53,102,32,Mistake,1200
37,-39,109,30,Mistake,1200
38,137,140,30,Mistake,1200
39,3,223,30,Blunder,1200
43,-250,78,28,Mistake,1200
47,-384,69,27,Mistake,1200
61,-494,57,20,Mistake,1200
13,64,54,31,Mistake,1200
14,-4,110,31,Mistake,1200
21,61,79,26,Mistake,1200
29,-26,54,26,Mistake,1200
37,15,57,24,Mistake,1200
45,-10,88,20,Mistake,1200
46,89,89,20,Mistake,1200
52,17,237,20,Blunder,1200
59,286,110,17,Mistake,1200
60,-159,51,17,Mistake,1200
65,326,139,15,Mistake,1200
67,205,144,14,Mistake,1200
68,-54,124,14,Mistake,1200
69,150,131,14,Mistake,1200
70,-30,156,14,Blunder,1200
75,218,104,14,Mistake,1200
76,-120,118,14,Mistake,1200
77,196,58,14,Mistake,1200
80,-106,180,14,Blunder,1200
81,297,263,14,Blunder,1200
82,-12,156,14,Blunder,1200
86,-196,158,14,Blunder,1200
87,357,171,14,Blunder,1200
88,-204,83,14,Mistake,1200
89,267,205,14,Blunder,1200
90,-214,278,14,Blunder,1200
91,499,458,14,Blunder,1200
93,50,50,14,Mistake,1200
96,0,68,14,Mistake,1200
120,0,553,6,Blunder,1200
24,-10,120,25,Mistake,1200
26,-152,293,23,Blunder,1200
28,-514,252,23,Blunder,1200
6,17,50,32,Mistake,1200
7,48,79,32,Mistake,1200
8,20,62,32,Mistake,1200
14,-44,173,31,Blunder,1200
15,226,232,31,Blunder,1200
16,19,122,31,Mistake,1200
18,-106,94,31,Mistake,1200
19,181,156,31,Blunder,1200
20,-27,171,31,Blunder,1200
22,-195,199,29,Blunder,1200
26,-382,57,29,Mistake,1200
28,-453,136,29,Mistake,1200
31,620,56,27,Mistake,1200
37,598,64,27,Mistake,1200
38,-505,92,27,Mistake,1200
